Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"05/24/1893   SLN  PIT  NL  4  PIT 123 Sandy Griffin      2(B)3XH(25)2X3(56)/PTP       2*-5*-6*              Connie Mack c,Denny Lyons 3b,Frank Shugart ss"
"05/26/1893   BRO  BLN  NL  7  BRO 123 John McGraw        H+3XH(42)2X3(25)1X2(56)/PTP  4-2*-5*-6*            Danny Richardson 2b,Con Daily c,Tom Daly 3b,George Shoch ss"
"06/24/1893   BLN  BSN  NL  8  BLN 12- Bill Merritt       1(B)14(2)1X2(4)/LTP          1*-4*-4*              Bill Hawke p,Heinie Reitz 2b"
"07/20/1893   BLN  BRO  NL  5  BLN 12- Tommy Corcoran     4(B)4(2)43(1)/LTP            4*-4*-3*              Heinie Reitz 2b,Harry Taylor 1b"
"07/22/1893   CIN  SLN  NL  1  CIN 12- Jimmy Bannon       2X3(46)4(1)BX1(631)/PTP      4-6*-6*-3-1*          Bid McPhee 2b,Germany Smith ss,Farmer Vaughn 1b,Mike Sullivan p"
"09/08/1893   WSN  CL4  NL  1  WSN 123 Ed McKean          6(B)65(3)54(2)/LTP           6*-5*-4*              Joe Sullivan ss,Duke Farrell 3b,Sam Wise 2b"
"05/05/1894   WSN  BLN  NL  8  BLN 12- Deacon McGuire     54(1)43(B)2XH(35)/GTP        5-4*-3*-5*            John McGraw 3b,Frank Bonner 2b,Dan Brouthers 1b,John McGraw 3b"
"06/29/1894   BSN  SLN  NL  8  SLN 123 Tommy McCarthy     54(1)43(B)3XH(32)/GTP        5-4*-3*-2*            Doggie Miller 3b,Joe Quinn 2b,Roger Connor 1b,Heinie Peitz c"
"08/14/1894   CHN  BRO  NL  6  CHN 12- Billy Shindle      4(B)46(2)63(1)/LTP           4*-6*-3*              Jiggs Parrott 2b,Bill Dahlen ss,George Decker 1b"
"08/15/1894   PIT  BSN  NL  9  BSN 12- Bill Merritt       2X3(84)4(1)1X2(4538)/GTP     8-4*-4*-5-3-8*        Tommy McCarthy cf,Bobby Lowe 2b,Billy Nash 3b,Tommy Tucker 1b,Tommy McCarthy cf"
"08/18/1894 2 CHN  NY1  NL  3  NY1 12- Jimmy Ryan         6(B)64(2)43(1)/LTP           6*-4*-3*              Shorty Fuller ss,Monte Ward 2b,Jack Doyle 1b"
"09/11/1894 2 PHI  PIT  NL  8  PIT 12- Ed Delahanty       63(B)34(1)2XH(42)/GTP        6-3*-4*-2*            Gene Steere ss,Jake Beckley 1b,Lou Bierbauer 2b,Joe Sugden c"
"04/23/1895   BSN  WSN  NL  9  BSN 123 Al Maul            12(3)23(B)2XH(32)/GTP        1-2*-3*-2*            Zeke Wilson p,John Warner c,Tommy Tucker 1b,John Warner c"
"05/02/1895   LS3  CHN  NL  7  CHN 12- Fred Clarke        6(B)64(2)43(1)/FTP           6*-4*-3*              Bill Dahlen ss,Ace Stewart 2b,Cap Anson 1b"
"05/09/1895   PHI  SLN  NL  6  PHI 12- Tommy Dowd         7(B)74(2)43(1)/FTP           7*-4*-3*              Ed Delahanty lf,Bill Hallman 2b,Jack Boyle 1b"
"06/13/1895   SLN  NY1  NL  2  NY1 12- Duff Cooley        IF(B)15(2)54(1)/PTP          1*-5*-4*              Amos Rusie p,Duke Farrell 3b,General Stafford 2b"
"09/03/1895 2 LS3  WSN  NL  1  LS3 12- Charlie Abbey      1(B)3(1)4(2)/LTP             1*-3*-4*              George Meakim p,Bill Hassamaer 1b,Jimmy Collins 2b"
"05/02/1896   SLN  CHN  NL  5  CHN 12- Duff Cooley        6(B)64(2)43(1)/LTP           6*-4*-3*              Josh Reilly ss,Harry Truby 2b,George Decker 1b"
"06/01/1896   PIT  BLN  NL  7  PIT 12- Wilbert Robinson   3(B)3(1)36(2)/FTP            3*-3*-6*              Jake Beckley 1b,Bill Merritt ss"
"07/03/1896   BLN  NY1  NL  6  NY1 123 Jim Donnelly       5(B)53(1)3XH(312)/LTP        5*-3*-1-2*            George Davis 3b,Willie Clark 1b,Mike Sullivan p,Parke Wilson c"
"07/26/1896   WSN  LS3  NL  1  LS3 -23 Gene DeMontreville 3XH(42)2X3(25)BX3(543)/GTP   4-2*-5*-4-3*          Jack Crooks 2b,Charlie Dexter c,Billy Clingman 3b,Jack Crooks 2b,Jim Rogers 1b"
"09/08/1896 1 SLN  WSN  NL  1  WSN 1-3 Tuck Turner        5(B)5(3)53(1)/LTP            5*-5*-3*              Harvey Smith 3b,Ed Cartwright 1b"
"05/10/1897   BLN  WSN  NL  6  BLN 12- Kip Selbach        3(B)36(2)64(1)/PTP           3*-6*-4*              Jack Doyle 1b,Hughie Jennings ss,Heinie Reitz 2b"
"05/15/1897   NY1  CIN  NL  3  NY1 12- Charlie Irwin      1(B)16(2)63(1)/PTP           1*-6*-3*              Cy Seymour p,George Davis ss,Jake Beckley 1b"
"05/29/1897 2 SLN  NY1  NL  2  NY1 123 Morgan Murphy      4(1)43(B)2XH(32)/GTP         4*-3*-2*              Kid Gleason 2b,Parke Wilson 1b,John Warner c"
"05/29/1897 2 BRO  PIT  NL  6  BRO 12- Dick Padden        2X3(8)86(1)BX2(6)/FTP        8*-6*-6*              Mike Griffin cf,Germany Smith ss"
